0,-118
1,-116
2,-114
3,-112
4,-110
5,-108
6,-108
7,-108
8,-108
9,-106
10,-106
11,-104
12,-106
13,-106
14,-104
15,-106
16,-105
17,-103
18,-105
19,-103
20,-101
21,-101
22,-99
23,-99
24,-97
25,-96
26,-94
27,-92
28,-92
29,-92
30,-92
31,-91
32,-91
33,-91
34,-89
35,-91
36,-89
37,-87
38,-87
39,-85
40,-85
41,-83
42,-83
43,-83
44,-81
45,-80
46,-80
47,-80
48,-78
49,-77
50,-78
51,-80
52,-79
53,-78
54,-80
55,-80
56,-80
57,-80
58,-80
59,-80
60,-78
61,-78
62,-77
63,-75
64,-77
65,-75
66,-73
67,-74
68,-76
69,-75
70,-73
71,-73
72,-73
73,-72
74,-71
75,-72
76,-71
77,-71
78,-71
79,-71
80,-69
81,-70
82,-72
83,-72
84,-72
85,-72
86,-72
87,-70
88,-70
89,-69
90,-71
91,-73
92,-73
93,-72
94,-72
95,-72
96,-72
97,-73
98,-73
99,-71
100,-70
101,-70
102,-72
103,-72
104,-71
105,-71
106,-70
107,-72
108,-72
109,-72
110,-73
111,-72
112,-70
113,-69
114,-70
115,-71
116,-69
117,-68
118,-70
119,-68
120,-68
121,-68
122,-66
123,-64
124,-64
125,-66
126,-64
127,-65
128,-64
129,-64
130,-65
131,-64
132,-64
133,-62
134,-61
135,-60
136,-61
137,-61
138,-60
139,-60
140,-59
141,-59
142,-58
143,-57
144,-57
145,-58
146,-60
147,-59
148,-61
149,-61
150,-61
151,-62
152,-62
153,-60
154,-59
155,-58
156,-59
157,-59
158,-57
159,-55
160,-55
161,-53
162,-54
163,-54
164,-54
165,-53
166,-53
167,-51
168,-51
169,-51
170,-51
171,-51
172,-50
173,-50
174,-50
175,-50
176,-49
177,-50
178,-49
179,-49
180,-48
181,-49
182,-49
183,-49
184,-49
185,-49
186,-50
187,-50
188,-49
189,-48
190,-48
191,-48
192,-48
193,-50
194,-50
195,-50
196,-50
197,-50
198,-51
199,-53
200,-52
201,-51
202,-52
203,-51
204,-51
205,-51
206,-49
207,-47
208,-47
209,-49
210,-49
211,-50
212,-50
213,-49
214,-50
215,-51
216,-51
217,-51
218,-50
219,-49
220,-50
221,-51
222,-51
223,-52
224,-52
225,-51
226,-52
227,-52
228,-52
229,-52
230,-51
231,-51
232,-50
233,-48
234,-47
235,-46
236,-46
237,-45
238,-46
239,-46
240,-45
241,-45
242,-44
243,-45
244,-45
245,-44
246,-44
247,-44
248,-44
